epoch,acc_first,acc_joint,acc_last,acc_middle,learning_rate,loss,val_acc_first,val_acc_joint,val_acc_last,val_acc_middle,val_loss
0,0.6181890964508057,0.4044281244277954,0.6969150900840759,0.6351045966148376,0.0010000000474974513,3.195640802383423,0.05788452923297882,0.0002160904259653762,0.14286348223686218,0.07710549235343933,8.969890594482422
1,0.916135311126709,0.7950446605682373,0.934065043926239,0.9120508432388306,0.0010000000474974513,0.7391675710678101,0.0692320466041565,0.00013297871919348836,0.14289116859436035,0.07712211459875107,8.893479347229004
2,0.9419997930526733,0.8561128973960876,0.9549362659454346,0.940116822719574,0.0010000000474974513,0.5141904950141907,0.06926529109477997,0.0002825798001140356,0.14288009703159332,0.06741467118263245,8.789050102233887
3,0.9512019157409668,0.8808683753013611,0.9631768465042114,0.9514655470848083,0.0010000000474974513,0.42471715807914734,0.5857102870941162,0.3071032762527466,0.8226673603057861,0.6455784440040588,2.8662471771240234
4,0.9586391448974609,0.8979145288467407,0.967931866645813,0.9591915607452393,0.0010000000474974513,0.3620452582836151,0.9275819659233093,0.8357269167900085,0.9472684264183044,0.9352116584777832,0.6007803678512573
5,0.9624367356300354,0.9071124196052551,0.9706520438194275,0.9631874561309814,0.0010000000474974513,0.32847416400909424,0.3977504372596741,0.11204565316438675,0.5750443339347839,0.4587433636188507,7.313494682312012
6,0.9662196636199951,0.9169238805770874,0.9740827679634094,0.9676766991615295,0.0010000000474974513,0.29247361421585083,0.8721022009849548,0.7643505930900574,0.9394669532775879,0.9171708822250366,0.9328557252883911
7,0.9687563180923462,0.9239899516105652,0.9765013456344604,0.9701290726661682,0.0010000000474974513,0.2690770924091339,0.4652149975299835,0.270517498254776,0.8377271890640259,0.6505208015441895,5.727540016174316
8,0.978941023349762,0.9491523504257202,0.9838182926177979,0.9808135032653809,0.0005000000237487257,0.17748083174228668,0.9809452891349792,0.9637799263000488,0.9909020662307739,0.9844359755516052,0.12448272854089737
9,0.9800207018852234,0.9513010382652283,0.9847165942192078,0.9814229011535645,0.0005000000237487257,0.16923487186431885,0.9800975322723389,0.9501828551292419,0.9850232601165771,0.9758366346359253,0.17375333607196808
10,0.9810159206390381,0.9536479711532593,0.984722912311554,0.982899010181427,0.0005000000237487257,0.16266170144081116,0.9662566781044006,0.9195257425308228,0.9817764163017273,0.9597406983375549,0.2684631943702698
11,0.9809337258338928,0.9538967609405518,0.9854251146316528,0.9828694462776184,0.0005000000237487257,0.15776188671588898,0.9787289500236511,0.9495068192481995,0.9834275245666504,0.9794548153877258,0.17447766661643982
12,0.9843960404396057,0.9638621211051941,0.9884741902351379,0.9870192408561707,0.0002500000118743628,0.12348784506320953,0.9896055459976196,0.9727005958557129,0.9924534559249878,0.984790563583374,0.09739561378955841
13,0.9857140183448792,0.9664389491081238,0.9892079830169678,0.9878289699554443,0.0002500000118743628,0.1144910380244255,0.9902426600456238,0.9769946932792664,0.9929022789001465,0.9879820346832275,0.08238200098276138
14,0.986095666885376,0.9676324129104614,0.9896507859230042,0.9883623719215393,0.0002500000118743628,0.11067651212215424,0.9767121076583862,0.9114140272140503,0.9871010780334473,0.9399047493934631,0.276639848947525
15,0.9863297343254089,0.9680625796318054,0.9895453453063965,0.9885311126708984,0.0002500000118743628,0.1096726581454277,0.9863641858100891,0.9700188040733337,0.9910017848014832,0.9862200617790222,0.10924412310123444
16,0.9864309430122375,0.9683282375335693,0.9896528720855713,0.9888157844543457,0.0002500000118743628,0.10751117020845413,0.9874224066734314,0.9647274017333984,0.9888131618499756,0.9824579358100891,0.11894835531711578
17,0.9884699583053589,0.9724612236022949,0.9909349679946899,0.9900387525558472,0.0001250000059371814,0.09126824885606766,0.9911735653877258,0.9791666865348816,0.992968738079071,0.9893727898597717,0.07447241991758347
18,0.989296555519104,0.9740468859672546,0.9910678267478943,0.9908864498138428,0.0001250000059371814,0.08528351038694382,0.9910350441932678,0.9782468676567078,0.9923537373542786,0.9892897009849548,0.07726162672042847
19,0.9890139698982239,0.974453866481781,0.9914410710334778,0.9910825490951538,0.0001250000059371814,0.08352948725223541,0.9919049143791199,0.980014443397522,0.9934009313583374,0.9893395900726318,0.06901649385690689
20,0.9890561699867249,0.9750695824623108,0.9917699694633484,0.9913904070854187,0.0001250000059371814,0.08317810297012329,0.9927304983139038,0.9812278747558594,0.9931183457374573,0.9902094602584839,0.06667745858430862
21,0.9895200133323669,0.9752234816551208,0.991603434085846,0.9912154078483582,0.0001250000059371814,0.08022154867649078,0.9912400245666504,0.9752216339111328,0.9923648238182068,0.9859319925308228,0.08913823962211609
22,0.9892585873603821,0.9750991463661194,0.991436779499054,0.9914430975914001,0.0001250000059371814,0.08091339468955994,0.9905363917350769,0.9762799143791199,0.9920324087142944,0.988142728805542,0.08138719946146011
23,0.9901505708694458,0.976438045501709,0.9918416738510132,0.9917130470275879,0.0001250000059371814,0.07823606580495834,0.9918882846832275,0.9801750779151917,0.9935948848724365,0.9891899824142456,0.0687045156955719
24,0.9901589751243591,0.9775450825691223,0.9924089312553406,0.9923266768455505,6.25000029685907e-05,0.0736795961856842,0.9886137247085571,0.9690436720848083,0.9908521771430969,0.9837765693664551,0.10791889578104019
25,0.9905933737754822,0.978397011756897,0.9925480484962463,0.9926366209983826,6.25000029685907e-05,0.07122895121574402,0.9893561601638794,0.9732823967933655,0.9916555881500244,0.986585795879364,0.09372697025537491
