epoch,acc_first,acc_joint,acc_last,acc_middle,accuracy,learning_rate,loss,val_acc_first,val_acc_joint,val_acc_last,val_acc_middle,val_accuracy,val_loss
0,0.6200785040855408,0.43116140365600586,0.6883898377418518,0.6185869574546814,0.21673725545406342,0.0003000000142492354,6.925398349761963,0.06912686675786972,0.0003810975467786193,0.09098856151103973,0.0896516889333725,0.0,12.576144218444824
1,0.9464917182922363,0.863824188709259,0.955022931098938,0.9443286061286926,0.3336019515991211,0.0003000000142492354,3.9846584796905518,0.9591076374053955,0.8870015144348145,0.9645942449569702,0.9487272500991821,0.4048454463481903,3.8040196895599365
2,0.9655029773712158,0.9124834537506104,0.971721351146698,0.9657806158065796,0.3403215706348419,0.0003000000142492354,3.6852009296417236,0.9783772230148315,0.9386160969734192,0.9837761521339417,0.9685322046279907,0.2790272831916809,3.5680313110351562
3,0.972333550453186,0.9314684271812439,0.9781997799873352,0.9738616347312927,0.34029608964920044,0.0003000000142492354,3.5843610763549805,0.9766562581062317,0.9439756274223328,0.9826963543891907,0.9759122133255005,0.24466364085674286,3.5673656463623047
4,0.9766637682914734,0.9420686960220337,0.9817701578140259,0.9782565832138062,0.3404274582862854,0.0003000000142492354,3.533068895339966,0.9387824535369873,0.835641086101532,0.9518668055534363,0.9092140793800354,0.3278818130493164,4.038992881774902
5,0.9792613983154297,0.9486765265464783,0.9838484525680542,0.9809809923171997,0.34126079082489014,0.0003000000142492354,3.5022788047790527,0.21931560337543488,0.015231803990900517,0.15132294595241547,0.2643032670021057,0.12065454572439194,20.437652587890625
6,0.9810201525688171,0.9533863663673401,0.9852648377418518,0.9829441905021667,0.342801958322525,0.0003000000142492354,3.482463836669922,0.9331748485565186,0.8256447911262512,0.9213396310806274,0.9252625703811646,0.2713181674480438,5.9113240242004395
7,0.9827155470848083,0.9573886394500732,0.9863643646240234,0.984502375125885,0.34260979294776917,0.0003000000142492354,3.4660205841064453,0.8711739182472229,0.6229856014251709,0.883916437625885,0.7856839895248413,0.13438181579113007,17.584680557250977
8,0.9841802716255188,0.9607480764389038,0.9877115488052368,0.9854843616485596,0.3435039222240448,0.0003000000142492354,3.45333194732666,0.1056729108095169,0.0022321429569274187,0.3360978066921234,0.1460994929075241,0.001436363672837615,40.732154846191406
9,0.9878101944923401,0.9699115753173828,0.9902118444442749,0.9894023537635803,0.34535881876945496,0.0001500000071246177,3.4130373001098633,0.4699477255344391,0.11874213069677353,0.8104462623596191,0.36768656969070435,0.060499999672174454,28.50790023803711
10,0.9886621832847595,0.9720891118049622,0.9909847378730774,0.9903399348258972,0.34790000319480896,0.0001500000071246177,3.4056284427642822,0.07192762941122055,0.0007621950935572386,0.17331469058990479,0.11392699927091599,0.0,42.11671829223633
11,0.9889692068099976,0.9730959534645081,0.9914211630821228,0.9906123280525208,0.3467274606227875,0.0001500000071246177,3.403834342956543,0.07192762941122055,0.0006079413578845561,0.1451013833284378,0.10640788078308105,0.0,42.97383117675781
12,0.9895657300949097,0.9742843508720398,0.9915093183517456,0.9911460876464844,0.3462744951248169,0.0001500000071246177,3.400953531265259,0.07192762941122055,0.0004809088131878525,0.11884799599647522,0.10443887859582901,0.0,45.37669372558594
13,0.9896708726882935,0.9745417833328247,0.9916524291038513,0.9911369681358337,0.34806862473487854,0.0001500000071246177,3.400378465652466,0.07192762941122055,0.0004809088131878525,0.1187935546040535,0.10443887859582901,0.0,46.43416213989258
